RoutePair,TotalPax,cumulative_pax,cumulative_pct,route_rank
DELHI - PANTNAGAR,361664.0,1282265677.0,94.85772397165763,351
DELHI - HUBLI,360714.0,1282626391.0,94.88440838632962,352
MUMBAI - VIJAYAWADA,358729.0,1282985120.0,94.91094595734396,353
AHMEDABAD - RANCHI,357744.0,1283342864.0,94.93741066135436,354
PUNE - RAIPUR,357531.0,1283700395.0,94.96385960833753,355
GORAKHPUR - KOLKATA,356260.0,1284056655.0,94.99021453099381,356
AHMEDABAD - DEHRADUN,354194.0,1284410849.0,95.01641661788351,357
HYDERABAD - KOLHAPUR,353406.0,1284764255.0,95.04256041117006,358
BAGDOGRA - DIBRUGARH,350887.0,1285115142.0,95.06851785726586,359
KOLKATA - SRINAGAR,344450.0,1285459592.0,95.09399911564167,360
GOA - JAIPUR,343593.0,1285803185.0,95.11941697602519,361
AGRA - BENGALURU,343410.0,1286146595.0,95.14482129868111,362
HYDERABAD - MYSORE,342806.0,1286489401.0,95.17018093943817,363
CHENNAI - KANNUR,342692.0,1286832093.0,95.19553214685669,364
AGARTALA - IMPHAL,342101.0,1287174194.0,95.22083963407289,365
AGATTI ISLAND - KOCHI,340278.0,1287514472.0,95.24601226184932,366
"BENGALURU - GOA (DABOLIM, SOUTH GOA)",339016.0,1287853488.0,95.27109153108877,367
DELHI - DEOGHAR ,337153.0,1288190641.0,95.29603298182231,368
DIMAPUR - GUWAHATI,335436.0,1288526077.0,95.32084741464142,369
DEHRADUN - HYDERABAD,335087.0,1288861164.0,95.34563602960837,370
HYDERABAD - VISHAKHAPATNAM (VISAKHAPATNAM),332907.0,1289194071.0,95.3702633754702,371
